',RXQ510,':',"Doctors and other health care providers sometimes recommend that {you take/SP takes) a low-dose aspirin each day to prevent heart attacks, strokes, or cancer. {Have you/Has SP} ever been told to do this?",,"',","'RXQ510':'Doctors and other health care providers sometimes recommend that {you take/SP takes) a low-dose aspirin each day to prevent heart attacks, strokes, or cancer. {Have you/Has SP} ever been told to do this?',"
',RXQ515,':',{Are you/Is SP} now following this advice?,,"',","'RXQ515':'{Are you/Is SP} now following this advice?',"
',RXQ520,':',"On {your/SP's} own, {are you/is SP} now taking a low-dose aspirin each day to prevent heart attacks, strokes, or cancer?",,"',","'RXQ520':'On {your/SP's} own, {are you/is SP} now taking a low-dose aspirin each day to prevent heart attacks, strokes, or cancer?',"
',RXQ525G,':',"How often {do you/does SP} take an aspirin? (ASA taken daily, on alternate days, or another schedule?)",,"',","'RXQ525G':'How often {do you/does SP} take an aspirin? (ASA taken daily, on alternate days, or another schedule?)',"
',RXQ525Q,':',How often {do you/does SP} take an aspirin? (Number of ASA doses taken per day or per week).,,"',","'RXQ525Q':'How often {do you/does SP} take an aspirin? (Number of ASA doses taken per day or per week).',"
',RXQ525U,':',How often {do you/does SP} take an aspirin? (ASA doses taken on daily or weekly basis?),,"',","'RXQ525U':'How often {do you/does SP} take an aspirin? (ASA doses taken on daily or weekly basis?)',"
',RXD530,':',What is the size or dose that {you take/SP takes}?,,"',","'RXD530':'What is the size or dose that {you take/SP takes}?',"
',RHQ010,':',The next series of questions are about {your/SP's} reproductive history. I will begin by asking about {your/SP's} periods or menstrual cycles. How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?,,"',","'RHQ010':'The next series of questions are about {your/SP's} reproductive history. I will begin by asking about {your/SP's} periods or menstrual cycles. How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?',"
',RHQ020,':',{Were you/Was SP}...,,"',","'RHQ020':'{Were you/Was SP}...',"
',RHQ031,':',"{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)",,"',","'RHQ031':'{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)',"
',RHD043,':',What is the reason that {you have/SP has} not had a period in the past 12 months?,,"',","'RHD043':'What is the reason that {you have/SP has} not had a period in the past 12 months?',"
',RHQ060,':',About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?,,"',","'RHQ060':'About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?',"
',RHQ074,':',The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?,,"',","'RHQ074':'The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?',"
',RHQ076,':',{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?,,"',","'RHQ076':'{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?',"
',RHQ078,':',"{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?",,"',","'RHQ078':'{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?',"
',RHQ131,':',"The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.",,"',","'RHQ131':'The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.',"
',RHD143,':',{Are you/Is SP} pregnant now?,,"',","'RHD143':'{Are you/Is SP} pregnant now?',"
',RHQ160,':',"How many times {have you/has SP} been pregnant? ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)",,"',","'RHQ160':'How many times {have you/has SP} been pregnant? ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)',"
',RHQ162,':',"During {any/your/SP's} pregnancy, {were you/was SP} ever told by a doctor or other health professional that {you/she} had diabetes, sugar diabetes or gestational diabetes? Please do not include diabetes that {you/SP} may have known about before the pregnancy.",,"',","'RHQ162':'During {any/your/SP's} pregnancy, {were you/was SP} ever told by a doctor or other health professional that {you/she} had diabetes, sugar diabetes or gestational diabetes? Please do not include diabetes that {you/SP} may have known about before the pregnancy.',"
',RHQ163,':',How old {were you/was SP} when {you were/she was} first told {you/she} had diabetes during a pregnancy?,,"',","'RHQ163':'How old {were you/was SP} when {you were/she was} first told {you/she} had diabetes during a pregnancy?',"
',RHQ166,':',How many vaginal deliveries {have you/has SP} had? {Please count stillbirths as well as live births},,"',","'RHQ166':'How many vaginal deliveries {have you/has SP} had? {Please count stillbirths as well as live births}',"
',RHQ169,':',How many cesarean deliveries {have you/has SP} had? (Cesarean deliveries are also known as C-sections.) (Please count stillbirths as well as live births.),,"',","'RHQ169':'How many cesarean deliveries {have you/has SP} had? (Cesarean deliveries are also known as C-sections.) (Please count stillbirths as well as live births.)',"
',RHQ172,':',{Did {your/SP's} delivery/Did any of {your/SP's} deliveries} result in a baby that weighed 9 pounds (4082 g) or more at birth? (Please count stillbirths as well as live births.),,"',","'RHQ172':'{Did {your/SP's} delivery/Did any of {your/SP's} deliveries} result in a baby that weighed 9 pounds (4082 g) or more at birth? (Please count stillbirths as well as live births.)',"
',RHD173,':',How old {were you/was SP} when {you/she} delivered a baby that weighed 9 pounds or more? (Please count stillbirths as well as live births.),,"',","'RHD173':'How old {were you/was SP} when {you/she} delivered a baby that weighed 9 pounds or more? (Please count stillbirths as well as live births.)',"
',RHQ171,':',How many of {your/her} deliveries resulted {Did {your/her} delivery result} in a live birth?,,"',","'RHQ171':'How many of {your/her} deliveries resulted {Did {your/her} delivery result} in a live birth?',"
',RHD180,':',How old {were you/was SP} at the time of {your/her} first live birth?,,"',","'RHD180':'How old {were you/was SP} at the time of {your/her} first live birth?',"
',RHD190,':',How old {were you/was SP} at the time of {your/her} last live birth?,,"',","'RHD190':'How old {were you/was SP} at the time of {your/her} last live birth?',"
',RHQ197,':',How many months ago did {you/SP} have {your/her} baby?,,"',","'RHQ197':'How many months ago did {you/SP} have {your/her} baby?',"
',RHQ200,':',{Are you/Is SP} now breast feeding a child?,,"',","'RHQ200':'{Are you/Is SP} now breast feeding a child?',"
',RHD280,':',"{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?",,"',","'RHD280':'{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?',"
',RHQ291,':',How old {were you/was SP} when {you/she} had {your/her} (hysterectomy/uterus removed/womb removed)?,,"',","'RHQ291':'How old {were you/was SP} when {you/she} had {your/her} (hysterectomy/uterus removed/womb removed)?',"
',RHQ305,':',{Have you/Has SP} had both of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?,,"',","'RHQ305':'{Have you/Has SP} had both of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?',"
',RHQ332,':',How old {were you/was SP} when {you/she} had {your/her} ovaries removed or last ovary removed if removed at different times?,,"',","'RHQ332':'How old {were you/was SP} when {you/she} had {your/her} ovaries removed or last ovary removed if removed at different times?',"
',RHQ420,':',Now I am going to ask you about {your/SP's} birth control history. {Have you/Has SP} ever taken birth control pills for any reason?,,"',","'RHQ420':'Now I am going to ask you about {your/SP's} birth control history. {Have you/Has SP} ever taken birth control pills for any reason?',"
',RHQ540,':',"{Have you/Has SP} ever used female hormones such as estrogen and progesterone? Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.",,"',","'RHQ540':'{Have you/Has SP} ever used female hormones such as estrogen and progesterone? Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.',"
',RHQ542A,':',Which forms of female hormones {have you/has SP} used.,,"',","'RHQ542A':'Which forms of female hormones {have you/has SP} used.',"
',RHQ554,':',{Have you/Has SP} ever taken female hormone pills containing estrogen only (like Premarin)? (Do not include birth control pills.),,"',","'RHQ554':'{Have you/Has SP} ever taken female hormone pills containing estrogen only (like Premarin)? (Do not include birth control pills.)',"
',RHQ560Q,':',"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you taken/did you take/has she taken/did she take} pills containing estrogen only?",,"',","'RHQ560Q':'Not counting any time when {you/SP} stopped taking them, for how long altogether {have you taken/did you take/has she taken/did she take} pills containing estrogen only?',"
',RHQ570,':',"{Have you/Has SP} taken female hormone pills containing both estrogen and progestin (like Prempro, Premphase)? (Do not include birth control pills.)",,"',","'RHQ570':'{Have you/Has SP} taken female hormone pills containing both estrogen and progestin (like Prempro, Premphase)? (Do not include birth control pills.)',"
',RHQ576Q,':',"Not counting any time when {you/SP} stopped taking them, for how long altogether {{have you/has SP} taken/did {you/SP} take} pills containing both estrogen and progestin?",,"',","'RHQ576Q':'Not counting any time when {you/SP} stopped taking them, for how long altogether {{have you/has SP} taken/did {you/SP} take} pills containing both estrogen and progestin?',"
',RHQ580,':',{Have you/Has SP} ever used female hormone patches containing estrogen only?,,"',","'RHQ580':'{Have you/Has SP} ever used female hormone patches containing estrogen only?',"
',RHQ586Q,':',"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing estrogen only?",,"',","'RHQ586Q':'Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing estrogen only?',"
',RHQ596,':',{Have you/Has SP} used female hormone patches containing both estrogen and progestin?,,"',","'RHQ596':'{Have you/Has SP} used female hormone patches containing both estrogen and progestin?',"
',RHQ602Q,':',"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing both estrogen and progestin?",,"',","'RHQ602Q':'Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing both estrogen and progestin?',"
',SXD021,':',"Ever had vaginal, anal, or oral sex.",,"',","'SXD021':'Ever had vaginal, anal, or oral sex.',"
',SXQ800,':',"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.",,"',","'SXQ800':'Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.',"
',SXQ803,':',Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.,,"',","'SXQ803':'Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.',"
',SXQ806,':',Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.,,"',","'SXQ806':'Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.',"
',SXQ809,':',"Have you ever had any kind of sex with a man, including oral or anal?",,"',","'SXQ809':'Have you ever had any kind of sex with a man, including oral or anal?',"
',SXQ700,':',"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.",,"',","'SXQ700':'Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.',"
',SXQ703,':',Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.,,"',","'SXQ703':'Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.',"
',SXQ706,':',Have you ever had anal sex? This means contact between a man's penis and your anus or butt.,,"',","'SXQ706':'Have you ever had anal sex? This means contact between a man's penis and your anus or butt.',"
',SXQ709,':',"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.",,"',","'SXQ709':'Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.',"
',SXD031,':',How old were you when you had sex for the first time?,,"',","'SXD031':'How old were you when you had sex for the first time?',"
',SXD171,':',"In your lifetime, with how many women have you had any kind of sex?",,"',","'SXD171':'In your lifetime, with how many women have you had any kind of sex?',"
',SXD510,':',"In the past 12 months, with how many women have you had any kind of sex?",,"',","'SXD510':'In the past 12 months, with how many women have you had any kind of sex?',"
',SXQ824,':',"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",,"',","'SXQ824':'In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.',"
',SXQ827,':',"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",,"',","'SXQ827':'In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.',"
',SXD633,':',How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.,,"',","'SXD633':'How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.',"
',SXQ636,':',"In your lifetime, on how many women have you performed oral sex?",,"',","'SXQ636':'In your lifetime, on how many women have you performed oral sex?',"
',SXQ639,':',"In the past 12 months, on how many women have you performed oral sex?",,"',","'SXQ639':'In the past 12 months, on how many women have you performed oral sex?',"
',SXD642,':',How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.,,"',","'SXD642':'How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.',"
',SXQ410,':',"In your lifetime, with how many men have you had anal or oral sex?",,"',","'SXQ410':'In your lifetime, with how many men have you had anal or oral sex?',"
',SXQ550,':',"In the past 12 months, with how many men have you had anal or oral sex?",,"',","'SXQ550':'In the past 12 months, with how many men have you had anal or oral sex?',"
',SXQ836,':',"In your lifetime, with how many men have you had anal sex?",,"',","'SXQ836':'In your lifetime, with how many men have you had anal sex?',"
',SXQ841,':',"In the past 12 months, with how many men have you had anal sex?",,"',","'SXQ841':'In the past 12 months, with how many men have you had anal sex?',"
',SXQ853,':',Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.,,"',","'SXQ853':'Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.',"
',SXD621,':',How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.,,"',","'SXD621':'How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.',"
',SXQ624,':',"In your lifetime, on how many men have you performed oral sex?",,"',","'SXQ624':'In your lifetime, on how many men have you performed oral sex?',"
',SXQ627,':',"In the past 12 months, on how many men have you performed oral sex?",,"',","'SXQ627':'In the past 12 months, on how many men have you performed oral sex?',"
',SXD630,':',How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.,,"',","'SXD630':'How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.',"
',SXQ645,':',"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?",,"',","'SXQ645':'When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?',"
',SXQ648,':',"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?",,"',","'SXQ648':'In the past 12 months, did you have any kind of sex with a person that you never had sex with before?',"
',SXQ610,':',"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?",,"',","'SXQ610':'In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?',"
',SXQ251,':',"In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?",,"',","'SXQ251':'In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?',"
',SXQ590,':',"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?",,"',","'SXQ590':'Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?',"
',SXQ600,':',"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?",,"',","'SXQ600':'Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?',"
',SXD101,':',"In your lifetime, with how many men have you had any kind of sex?",,"',","'SXD101':'In your lifetime, with how many men have you had any kind of sex?',"
',SXD450,':',"In the past 12 months, with how many men have you had any kind of sex?",,"',","'SXD450':'In the past 12 months, with how many men have you had any kind of sex?',"
',SXQ724,':',"In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.",,"',","'SXQ724':'In your lifetime, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.',"
',SXQ727,':',"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.",,"',","'SXQ727':'In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.',"
',SXQ130,':',"In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.",,"',","'SXQ130':'In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.',"
',SXQ490,':',"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.",,"',","'SXQ490':'In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.',"
',SXQ741,':',Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.,,"',","'SXQ741':'Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.',"
',SXQ753,':',Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?,,"',","'SXQ753':'Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?',"
',SXQ260,':',Has a doctor or other health care professional ever told you that you had genital herpes?,,"',","'SXQ260':'Has a doctor or other health care professional ever told you that you had genital herpes?',"
',SXQ265,':',Has a doctor or other health care professional ever told you that you had genital warts?,,"',","'SXQ265':'Has a doctor or other health care professional ever told you that you had genital warts?',"
',SXQ267,':',How old were you when you were first told that you had genital warts?,,"',","'SXQ267':'How old were you when you were first told that you had genital warts?',"
',SXQ270,':',"In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?",,"',","'SXQ270':'In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?',"
',SXQ272,':',"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?",,"',","'SXQ272':'In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?',"
',SXQ280,':',Are you circumcised or uncircumcised?,,"',","'SXQ280':'Are you circumcised or uncircumcised?',"
',SXQ292,':',Do you think of yourself as...,,"',","'SXQ292':'Do you think of yourself as...',"
',SLD010H,':',The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?,,"',","'SLD010H':'The next set of questions is about your sleeping habits. How much sleep {do you/does SP} usually get at night on weekdays or workdays?',"
',SLQ050,':',{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?,,"',","'SLQ050':'{Have you/Has SP} ever told a doctor or other health professional that {you have/s/he has} trouble sleeping?',"
',SLQ060,':',{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?,,"',","'SLQ060':'{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} a sleep disorder?',"
',SMQ020,':',These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,,"',","'SMQ020':'These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?',"
',SMD030,':',How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,,"',","'SMD030':'How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?',"
',SMQ040,':',{Do you/Does SP} now smoke cigarettes?,,"',","'SMQ040':'{Do you/Does SP} now smoke cigarettes?',"
',SMQ050Q,':',How long has it been since {you/SP} quit smoking cigarettes?,,"',","'SMQ050Q':'How long has it been since {you/SP} quit smoking cigarettes?',"
',SMD055,':',How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?,,"',","'SMD055':'How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?',"
',SMD057,':',"At that time, about how many cigarettes did {you/SP} usually smoke per day?",,"',","'SMD057':'At that time, about how many cigarettes did {you/SP} usually smoke per day?',"
',SMQ078,':',How soon after you wake up do you smoke? Would you say . . .,,"',","'SMQ078':'How soon after you wake up do you smoke? Would you say . . .',"
',SMD641,':',On how many of the past 30 days did {you/SP} smoke a cigarette?,,"',","'SMD641':'On how many of the past 30 days did {you/SP} smoke a cigarette?',"
',SMD650,':',"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?",,"',","'SMD650':'During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?',"
',SMD093,':',May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.,,"',","'SMD093':'May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.',"
',SMDUPCA,':',Cigarette 12-digit Universal Product Code (UPC),,"',","'SMDUPCA':'Cigarette 12-digit Universal Product Code (UPC)',"
',SMD100BR,':',BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE),,"',","'SMD100BR':'BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE)',"
',SMD100FL,':',CIGARETTE PRODUCT FILTERED OR NON-FILTERED,,"',","'SMD100FL':'CIGARETTE PRODUCT FILTERED OR NON-FILTERED',"
',SMD100MN,':',CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED,,"',","'SMD100MN':'CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED',"
',SMD100LN,':',CIGARETTE PRODUCT LENGTH,,"',","'SMD100LN':'CIGARETTE PRODUCT LENGTH',"
',SMD100TR,':',CIGARETTE TAR CONTENT,,"',","'SMD100TR':'CIGARETTE TAR CONTENT',"
',SMD100NI,':',CIGARETTE NICOTINE CONTENT,,"',","'SMD100NI':'CIGARETTE NICOTINE CONTENT',"
',SMD100CO,':',CIGARETTE CARBON MONOXIDE CONTENT,,"',","'SMD100CO':'CIGARETTE CARBON MONOXIDE CONTENT',"
',SMQ621,':',The following questions are about cigarette smoking and other tobacco use. Do not include cigars or marijuana. About how many cigarettes have you smoked in your entire life?,,"',","'SMQ621':'The following questions are about cigarette smoking and other tobacco use. Do not include cigars or marijuana. About how many cigarettes have you smoked in your entire life?',"
',SMD630,':',How old were you when you smoked a whole cigarette for the first time?,,"',","'SMD630':'How old were you when you smoked a whole cigarette for the first time?',"
',SMQ661,':',"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?",,"',","'SMQ661':'During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smoke?',"
',SMQ665A,':',"Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'",,"',","'SMQ665A':'Please select the Marlboro pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Marlboro.'',"
',SMQ665B,':',"Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'",,"',","'SMQ665B':'Please select the Camel pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Camel.'',"
',SMQ665C,':',"Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'",,"',","'SMQ665C':'Please select the Newport pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other Newport.'',"
',SMQ665D,':',"Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'",,"',","'SMQ665D':'Please select the pack that looks most like the brand that you smoke. If the pack you smoke is not shown, select 'other brand of cigarette.'',"
',SMQ670,':',"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",,"',","'SMQ670':'During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?',"
',SMQ848,':',"During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?",,"',","'SMQ848':'During the past 12 months, how many times {have you/has SP} stopped smoking cigarettes because {you were/he was/she was} trying to quit smoking?',"
',SMQ852Q,':',"The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?",,"',","'SMQ852Q':'The last time {you/SP} tried to quit, how long {were you/was he/was she} able to stop smoking?',"
',SMAQUEX2,':',Questionnaire Mode Flag,,"',","'SMAQUEX2':'Questionnaire Mode Flag',"
',SMD460,':',"Now I would like to ask you a few questions about smoking in this home. How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?",,"',","'SMD460':'Now I would like to ask you a few questions about smoking in this home. How many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product?',"
',SMD470,':',"Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?",,"',","'SMD470':'Not counting decks, porches, or detached garages, how many people who live here smoke cigarettes, cigars, little cigars, pipes, water pipes, hookah, or any other tobacco product inside this home?',"
',SMD480,':',"(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?",,"',","'SMD480':'(Not counting decks, porches, or detached garages) During the past 7 days, that is since last [TODAY'S DAY OF WEEK], on how many days did {anyone who lives here/you}, smoke tobacco inside this home?',"
',SMQ681,':',"The following questions ask about use of tobacco products in the past 5 days. During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?",,"',","'SMQ681':'The following questions ask about use of tobacco products in the past 5 days. During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?',"
',SMQ690A,':',Which of these products did {you/he/she} use?,,"',","'SMQ690A':'Which of these products did {you/he/she} use?',"
',SMQ710,':',"During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?",,"',","'SMQ710':'During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?',"
',SMQ720,':',"During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?",,"',","'SMQ720':'During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?',"
',SMQ725,':',When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,,"',","'SMQ725':'When did {you/he/she} smoke {your/his/her} last cigarette? Was it...',"
',SMQ740,':',"During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?",,"',","'SMQ740':'During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?',"
',SMQ770,':',"During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?",,"',","'SMQ770':'During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?',"
',SMQ845,':',"During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?",,"',","'SMQ845':'During the past 5 days, including today, on how many days did {you/he/she} smoke tobacco in a water pipe or Hookah?',"
',SMQ849,':',"During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?",,"',","'SMQ849':'During the past 5 days, including today, on how many days did {you/he/she} smoke an e-cigarette?',"
',SMQ851,':',"Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables. During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)",,"',","'SMQ851':'Smokeless tobacco products are placed in the mouth or nose and include chewing tobacco, snuff, snus, or dissolvables. During the past 5 days, including today, did {you/he/she} use any smokeless tobacco? (Please do not include nicotine replacement products like patches, gum, lozenge, or spray which are considered products to help {you/him/her} stop smoking.)',"
